img,id_poroto,area_mm2,perimetro_mm,eje_mayor_mm,eje_menor_mm,cx_px,cy_px,RGB_dom,HSV_dom,proportion_dom,area_px_dom,image_path,RGB_lote,HSV_lote,area_px_lote
PL04_2.TIF,3,122.983625,42.84954798630496,14.70408759333645,10.69748241737765,2540.3439836065572,2626.7196229508195,"(219, 205, 183)","(18, 42, 219)",0.632974510896665,122000,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_2.TIF,"(204, 191, 169)","(19, 44, 204)",122000
PL04_2.TIF,4,105.40503112500001,39.569110961532964,13.76930614739075,9.781631734023973,2907.922132323406,969.4664313995524,"(212, 197, 175)","(18, 45, 212)",0.5791396492033435,104562,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_2.TIF,"(194, 180, 159)","(18, 46, 194)",104562
PL04_2.TIF,5,135.41807593750002,44.806605613545514,15.199570309541473,11.403998720846364,3558.1742658279672,1998.077046190494,"(218, 204, 183)","(18, 41, 218)",0.6044441135966055,134335,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_2.TIF,"(199, 187, 166)","(19, 42, 199)",134335
PL05_1.TIF,1,76.8718220625,33.83605973731913,11.537240617280581,8.52257415222112,1482.3073553903248,985.2311525499298,"(201, 181, 148)","(19, 67, 201)",0.594201188087651,76257,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_1.TIF,"(187, 169, 138)","(19, 67, 187)",76257
PL05_1.TIF,2,65.671239625,30.814362298529822,10.297141966980709,8.137594491148192,1620.3069259816411,2399.872332913763,"(207, 191, 159)","(20, 59, 207)",0.4863690786848003,65146,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_1.TIF,"(189, 172, 140)","(20, 66, 189)",65146
PL05_1.TIF,3,112.79614537500001,41.242127496619425,14.091821155002139,10.29204364472744,2158.4214077609167,1333.787137826872,"(215, 198, 169)","(19, 55, 215)",0.5533093820937673,111894,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_1.TIF,"(198, 182, 154)","(19, 57, 198)",111894
PL05_1.TIF,4,91.47562350000001,36.94117766579397,13.068089730811,8.940809632312058,2635.4802851979193,2279.803325839725,"(212, 197, 172)","(19, 48, 212)",0.5571938640571278,90744,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_1.TIF,"(196, 182, 159)","(19, 48, 196)",90744
PL05_1.TIF,5,105.9967638125,39.58770968092762,13.766201401269829,9.857857608582414,2745.301942957137,404.2957992943347,"(217, 203, 180)","(19, 43, 217)",0.5752313383864801,105149,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_1.TIF,"(200, 188, 166)","(19, 43, 200)",105149
PL05_1.TIF,6,89.9806668125,36.9135533342924,13.021613110391126,8.836123200333207,3603.2156596946033,2445.504016311715,"(206, 188, 159)","(19, 58, 206)",0.41817693048679405,89261,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_1.TIF,"(181, 165, 134)","(20, 66, 181)",89261
PL05_1.TIF,7,96.04617887500001,37.919980227004665,13.255957823804918,9.276472381804512,4135.781481559226,1177.371187472449,"(214, 200, 175)","(19, 46, 214)",0.6106131530888558,95278,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_1.TIF,"(198, 185, 161)","(19, 48, 198)",95278
PL05_2.TIF,1,65.60873975,30.94136229852982,10.29322445440113,8.133395063433277,1397.5934945608751,787.4726660930489,"(209, 193, 165)","(19, 54, 209)",0.5631798906029132,65084,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_2.TIF,"(190, 176, 147)","(20, 58, 190)",65084
PL05_2.TIF,2,105.054225375,39.416035180251505,13.682738180466302,9.831346069683653,2455.212975224058,344.0971654480204,"(218, 205, 184)","(19, 40, 218)",0.6201182182816128,104214,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_2.TIF,"(203, 191, 170)","(19, 41, 203)",104214
PL05_2.TIF,3,112.79916956250001,41.136917251776666,14.066365589774806,10.30061943359704,2595.9267093845233,1342.3936834767687,"(217, 199, 168)","(19, 58, 217)",0.6011424466230364,111897,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_2.TIF,"(200, 184, 154)","(20, 59, 200)",111897
PL05_2.TIF,4,89.3334906875,37.08039431366346,12.963753551473195,8.81031879145531,2913.3242645482346,1545.443290942123,"(176, 158, 122)","(20, 78, 176)",0.39810702427665906,88619,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_2.TIF,"(177, 161, 128)","(20, 71, 177)",88619
PL05_2.TIF,5,76.82545118750001,33.546731564001526,11.5045630645775,8.5428040870295,3021.649118893598,2699.968337903977,"(201, 181, 148)","(19, 67, 201)",0.5551429583655902,76211,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_2.TIF,"(186, 168, 138)","(19, 66, 186)",76211
PL05_2.TIF,6,191.525826625,68.16922459705964,22.186516899908252,12.451920257496399,3977.390096529364,1330.8255734391612,"(215, 199, 172)","(19, 51, 215)",0.6081771003294841,189994,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL05_2.TIF,"(200, 185, 159)","(19, 52, 200)",189994
PL06_1.TIF,1,146.37470725,47.28894018988986,16.010185108241554,11.765389214995903,1750.697246632324,705.0546541417592,"(116, 56, 17)","(12, 218, 116)",0.5621263877028181,145204,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL06_1.TIF,"(91, 40, 15)","(10, 213, 91)",145204
PL06_1.TIF,2,113.0874754375,41.339407119716924,14.140715553583862,10.243602187150673,1771.9428255618052,2557.369262722516,"(107, 45, 9)","(11, 234, 107)",0.5171639196669727,112183,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL06_1.TIF,"(92, 40, 16)","(9, 211, 92)",112183
PL06_1.TIF,3,135.25275368750002,45.08535962453611,15.120991384340032,11.463904113096843,2564.014764740518,1356.7929805993845,"(16, 3, 6)","(173, 207, 16)",0.49310953931922696,134171,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL06_1.TIF,"(48, 28, 22)","(7, 138, 48)",134171
PL06_1.TIF,4,156.8252911875,48.9811029395518,16.896713974383314,11.998425273342447,3212.2862230107153,2710.3986797025154,"(110, 58, 28)","(11, 190, 110)",0.40314068817453125,155571,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL06_1.TIF,"(74, 36, 21)","(8, 183, 74)",155571
PL06_1.TIF,5,161.2980645,49.50824915412728,16.916901567228024,12.345736414949807,3696.6142505374733,1029.5230238488075,"(96, 36, 6)","(10, 239, 96)",0.44462776861156944,160008,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL06_1.TIF,"(80, 30, 13)","(8, 214, 80)",160008
PL06_2.TIF,1,146.54305368750002,47.431121093592694,16.03204816948905,11.747908298601693,1577.5666673545618,1122.413081013407,"(113, 49, 6)","(12, 241, 113)",0.5086915547117375,145371,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL06_2.TIF,"(99, 45, 15)","(11, 216, 99)",145371
PL06_2.TIF,2,274.386548,87.65031902350616,31.13609244808544,12.385136743643564,2529.673355572537,1688.6940725664238,"(97, 39, 8)","(10, 234, 97)",0.3823844932988479,272192,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL06_2.TIF,"(87, 39, 18)","(9, 202, 87)",272192
